iter	Passed	Remaining
216	4436	118231
217	4464	118418
218	4469	117993
219	4500	118248
220	4502	117747
221	4530	117906
222	4557	118062
223	4584	118205
224	4587	117735
225	4592	117331
226	4621	117544
227	4648	117689
228	4652	117240
229	4676	117323
230	4711	117653
231	4743	117936
232	4776	118235
233	4778	117741
234	4805	117885
235	4807	117416
236	4810	116976
237	4811	116488
238	4837	116615
239	4863	116713
240	4894	116964
241	4938	117493
242	4973	117839
243	5008	118155
244	5036	118314
245	5067	118531
246	5071	118116
247	5102	118336
248	5127	118421
249	5164	118772
250	5195	119004
251	5201	118654
252	5234	118901
253	5237	118483
254	5241	118096
255	5273	118324
256	5306	118586
257	5338	118815
258	5374	119121
259	5375	118679
260	5402	118791
261	5433	119005
262	5437	118606
263	5464	118730
264	5465	118291
265	5495	118459
266	5530	118761
267	5564	119019
268	5568	118631
269	5590	118646
270	5621	118848
271	5628	118524
272	5632	118148
273	5659	118271
274	5689	118446
275	5718	118603
276	5745	118704
277	5748	118312
278	5775	118432
279	5780	118086
280	5806	118183
281	5835	118326
282	5863	118447
283	5866	118071
284	5899	118295
285	5904	117966
286	5905	117559
287	5907	117161
288	5910	116804
289	5940	116969
290	5967	117064
291	5994	117187
292	6027	117397
293	6065	117724
294	6103	118040
295	6132	118184
296	6160	118285
297	6193	118500
298	6222	118644
299	6244	118644
300	6277	118856
301	6312	119109
302	6343	119265
303	6346	118919
304	6380	119131
305	6406	119206
306	6438	119400
307	6468	119538
308	6501	119745
309	6534	119939
310	6561	120026
311	6585	120051
312	6586	119675
313	6613	119760
314	6640	119845
315	6662	119832
316	6688	119902
317	6715	119996
318	6744	120116
319	6768	120145
320	6797	120258
321	6822	120297
322	6850	120408
323	6873	120420
324	6899	120467
325	6923	120499
326	6950	120574
327	6977	120659
328	7003	120718
329	7031	120817
330	7060	120925
331	7085	120967
332	7110	120998
333	7141	121144
334	7168	121230
335	7198	121352
336	7223	121382
337	7251	121478
338	7281	121592
339	7308	121657
340	7323	121532
341	7355	121686
342	7387	121834
343	7418	121975
344	7449	122100
345	7480	122237
346	7507	122307
347	7529	122295
348	7555	122330
349	7559	122029
350	7581	122023
351	7604	122022
352	7627	122024
353	7651	122041
354	7674	122040
355	7696	122019
356	7722	122061
357	7744	122058
358	7766	122036
359	7788	122027
360	7811	122024
361	7835	122039
362	7861	122074
363	7882	122048
364	7904	122037
365	7932	122101
366	7956	122121
367	7980	122133
368	8002	122123
369	8025	122110
370	8046	122080
371	8073	122145
372	8098	122178
373	8120	122157
374	8134	122020
375	8162	122096
376	8185	122082
377	8213	122159
378	8237	122169
379	8260	122175
380	8288	122236
381	8313	122264
382	8342	122353
383	8371	122440
384	8399	122499
385	8422	122494
386	8450	122567
387	8483	122704
388	8513	122796
389	8543	122889
390	8571	122959
391	8599	123020
392	8623	123039
393	8648	123061
394	8677	123133
395	8708	123233
396	8731	123237
397	8758	123278
398	8783	123305
399	8807	123305
400	8834	123355
401	8866	123472
402	8895	123549
403	8926	123642
404	8950	123645
405	8979	123726
406	9010	123817
407	9038	123875
408	9065	123926
409	9087	123898
410	9115	123952
411	9147	124066
412	9172	124083
413	9197	124099
414	9222	124115
415	9247	124134
416	9272	124150
417	9298	124176
418	9324	124200
419	9355	124289
420	9384	124367
421	9411	124397
422	9437	124432
423	9468	124514
424	9497	124586
425	9531	124721
426	9569	124901
427	9599	124977
428	9635	125124
429	9666	125211
430	9701	125348
431	9740	125538
432	9770	125621
433	9803	125724
434	9832	125783
435	9871	125972
436	9901	126042
437	9930	126109
438	9965	126243
439	10005	126427
440	10045	126629
441	10080	126755
442	10117	126915
443	10147	126982
444	10180	127083
445	10211	127166
446	10246	127288
447	10277	127371
448	10314	127516
449	10353	127694
450	10388	127814
451	10416	127856
452	10446	127915
453	10470	127904
454	10495	127902
455	10526	127979
456	10555	128024
457	10592	128170
458	10625	128268
459	10661	128396
460	10701	128576
461	10742	128765
462	10784	128976
463	10815	129041
464	10849	129140
465	10887	129290
466	10920	129390
467	10950	129438
468	10984	129536
469	11015	129606
470	11052	129738
471	11076	129731
472	11115	129888
473	11149	129978
474	11197	130243
475	11232	130353
476	11277	130579
477	11323	130813
478	11386	131245
479	11417	131298
480	11455	131435
481	11498	131635
482	11536	131778
483	11566	131814
484	11594	131844
485	11632	131978
486	11666	132068
487	11697	132127
488	11731	132208
489	11769	132342
490	11804	132451
491	11848	132643
492	11886	132776
493	11920	132862
494	11967	133093
495	12019	133381
496	12057	133509
497	12104	133732
498	12144	133884
499	12186	134048
500	12222	134149
501	12262	134302
502	12308	134511
503	12363	134826
504	12397	134901
505	12444	135118
506	12487	135291
507	12538	135550
508	12595	135876
509	12654	136217
510	12707	136502
511	12763	136805
512	12811	137033
513	12848	137138
514	12891	137301
515	12932	137447
516	12983	137696
517	13015	137742
518	13052	137843
519	13084	137885
520	13129	138069
521	13167	138182
522	13209	138331
523	13248	138454
524	13281	138508
525	13315	138577
526	13349	138632
527	13383	138699
528	13418	138771
529	13457	138891
530	13499	139040
531	13544	139209
532	13588	139382
533	13622	139435
534	13658	139517
535	13700	139667
536	13740	139788
537	13779	139897
538	13830	140128
539	13871	140257
540	13917	140432
541	13949	140477
542	13981	140508
543	14010	140522
544	14038	140516
545	14068	140535
546	14108	140642
547	14143	140708
548	14179	140784
549	14210	140808
550	14244	140866
551	14283	140971
552	14315	141008
553	14350	141071
554	14380	141079
555	14411	141103
556	14446	141175
557	14473	141159
558	14510	141234
559	14540	141246
560	14577	141330
561	14613	141404
562	14645	141429
563	14687	141565
564	14722	141626
565	14764	141750
566	14804	141859
567	14847	141990
568	14879	142018
569	14911	142047
570	14947	142119
571	14980	142155
572	15020	142259
573	15057	142334
574	15088	142361
575	15117	142358
576	15145	142351
577	15184	142440
578	15225	142550
579	15265	142655
580	15294	142652
581	15323	142651
582	15360	142725
583	15393	142755
584	15421	142752
585	15453	142775
586	15483	142784
587	15520	142848
588	15551	142866
589	15586	142922
590	15618	142940
591	15655	143011
592	15687	143039
593	15721	143079
594	15756	143129
595	15780	143080
596	15815	143130
597	15844	143128
598	15882	143205
599	15919	143278
600	15950	143290
601	15977	143264
602	16010	143299
603	16046	143354
604	16077	143367
605	16104	143348
606	16132	143332
607	16167	143382
608	16200	143405
609	16226	143374
610	16257	143391
611	16288	143399
612	16316	143385
613	16343	143366
614	16372	143360
615	16405	143392
616	16438	143421
617	16468	143419
618	16510	143522
619	16546	143580
620	16577	143595
621	16603	143562
622	16633	143564
623	16669	143612
624	16697	143595
625	16725	143583
626	16757	143600
627	16794	143659
628	16829	143705
629	16854	143667
630	16883	143652
631	16907	143605
632	16940	143630
633	16979	143706
634	17015	143763
635	17046	143771
636	17076	143769
637	17117	143858
638	17149	143875
639	17186	143934
640	17228	144033
641	17264	144085
642	17305	144177
643	17336	144181
644	17372	144235
645	17403	144242
646	17450	144380
647	17495	144496
648	17546	144669
649	17600	144868
650	17650	145022
651	17718	145336
652	17777	145572
653	17833	145780
654	17874	145861
655	17919	145974
656	17959	146051
657	18011	146224
658	18047	146272
659	18087	146340
660	18137	146496
661	18171	146525
662	18208	146572
663	18260	146746
664	18302	146836
665	18372	147145
666	18424	147310
667	18530	147915
668	18604	148253
669	18667	148505
670	18712	148615
671	18754	148697
672	18790	148736
673	18837	148856
674	18872	148879
675	18909	148923
676	18943	148946
677	18984	149021
678	19029	149121
679	19099	149426
680	19135	149455
681	19198	149702
682	19265	149977
683	19305	150040
684	19343	150087
685	19377	150101
686	19418	150178
687	19465	150291
688	19496	150285
689	19530	150301
690	19560	150285
691	19602	150364
692	19638	150388
693	19664	150342
694	19701	150384
695	19732	150376
696	19762	150359
697	19791	150332
698	19821	150318
699	19847	150277
700	19876	150250
701	19899	150184
702	19924	150125
703	19961	150161
704	19991	150147
705	20020	150126
706	20054	150142
707	20085	150132
708	20113	150101
709	20145	150096
710	20174	150071
711	20208	150086
712	20235	150046
713	20271	150079
714	20300	150052
715	20330	150038
716	20360	150018
717	20388	149988
718	20413	149935
719	20439	149889
720	20467	149858
721	20497	149842
722	20539	149912
723	20563	149855
724	20594	149841
725	20637	149916
726	20673	149945
727	20711	149990
728	20741	149972
729	20772	149958
730	20810	150001
731	20851	150065
732	20904	150210
733	20940	150231
734	20985	150325
735	21043	150509
736	21083	150559
737	21115	150554
738	21163	150662
739	21209	150759
740	21252	150834
741	21309	151004
742	21390	151346
743	21436	151441
744	21484	151545
745	21530	151638
746	21568	151674
747	21602	151676
748	21638	151699
749	21671	151698
750	21710	151741
751	21758	151844
752	21809	151973
753	21873	152184
754	21941	152427
755	22011	152683
756	22109	153132
757	22156	153222
758	22204	153325
759	22260	153483
760	22305	153560
761	22362	153721
762	22423	153907
763	22470	153996
764	22511	154050
765	22564	154181
766	22618	154317
767	22683	154530
768	22743	154709
769	22781	154739
770	22816	154744
771	22858	154795
772	22903	154871
773	22938	154877
774	22986	154972
775	23040	155105
776	23096	155252
777	23146	155360
778	23211	155566
779	23273	155750
780	23351	156044
781	23393	156095
782	23452	156257
783	23511	156424
784	23590	156720
785	23647	156869
786	23698	156978
787	23756	157130
788	23828	157375
789	23883	157508
790	23953	157742
791	24006	157862
792	24062	157998
793	24111	158090
794	24177	158295
795	24239	158469
796	24292	158588
797	24358	158788
798	24410	158896
799	24467	159038
800	24536	159256
801	24594	159402
802	24654	159565
803	24714	159724
804	24765	159823
805	24822	159958
806	24878	160094
807	24892	159951
808	24931	159973
809	24966	159970
810	25000	159959
811	25036	159963
812	25095	160111
813	25153	160256
814	25202	160337
815	25235	160321
816	25273	160333
817	25330	160465
818	25370	160494
819	25410	160522
820	25455	160580
821	25522	160770
822	25571	160854
823	25644	161086
824	25693	161165
825	25739	161232
826	25797	161369
827	25876	161635
828	25955	161900
829	26026	162119
830	26095	162320
831	26172	162571
832	26276	162989
833	26338	163145
834	26398	163291
835	26446	163358
836	26510	163530
837	26560	163611
838	26609	163683
839	26648	163695
840	26691	163735
841	26726	163721
842	26760	163708
843	26789	163658
844	26822	163630
845	26857	163618
846	26894	163621
847	26941	163683
848	26982	163708
849	27047	163878
850	27113	164051
851	27152	164063
852	27185	164034
853	27215	163991
854	27242	163934
855	27272	163889
856	27305	163864
857	27337	163836
858	27368	163795
859	27398	163752
860	27432	163734
861	27463	163697
862	27493	163653
863	27523	163611
864	27552	163565
865	27579	163504
866	27609	163457
867	27644	163448
868	27675	163408
869	27718	163441
870	27746	163387
871	27789	163420
872	27828	163433
873	27868	163450
874	27906	163452
875	27949	163488
876	27983	163463
877	28031	163526
878	28074	163562
879	28118	163597
880	28150	163569
881	28173	163485
882	28207	163461
883	28245	163468
884	28286	163484
885	28312	163418
886	28341	163370
887	28370	163320
888	28397	163263
889	28426	163212
890	28457	163173
891	28505	163233
892	28542	163234
893	28598	163338
894	28639	163359
895	28685	163406
896	28710	163331
897	28743	163305
898	28776	163277
899	28808	163246
900	28847	163253
901	28887	163266
902	28917	163225
903	28950	163200
904	28980	163156
905	29007	163096
906	29034	163035
907	29061	162977
908	29089	162921
909	29115	162853
910	29145	162809
911	29171	162747
912	29197	162679
913	29222	162612
914	29246	162534
915	29275	162487
916	29302	162423
917	29330	162371
918	29364	162352
919	29399	162334
920	29434	162319
921	29469	162307
922	29501	162273
923	29559	162387
924	29594	162368
925	29619	162299
926	29657	162301
927	29691	162277
