iter	RMSE
146	1.534412834
147	1.531709936
148	1.529654314
149	1.529523567
150	1.526633188
151	1.525027881
152	1.521815296
153	1.518362843
154	1.516304629
155	1.513709019
156	1.512575394
157	1.509747842
158	1.508945683
159	1.50800284
160	1.504400315
161	1.50247795
162	1.50205976
163	1.501134994
164	1.500751765
165	1.497890627
166	1.496710167
167	1.49366849
168	1.491203683
169	1.490292001
170	1.489079293
171	1.48634348
172	1.485753322
173	1.484669231
174	1.483456075
175	1.481530938
176	1.481036764
177	1.478831972
178	1.478828214
179	1.476304576
180	1.475865588
181	1.472147831
182	1.470706172
183	1.469133688
184	1.469025005
185	1.465408427
186	1.465218167
187	1.462220563
188	1.460358314
189	1.458482987
190	1.455015185
191	1.45252907
192	1.449588688
193	1.449394487
194	1.448717757
195	1.446444248
196	1.443493059
197	1.443023517
198	1.44088703
199	1.437887058
200	1.437657649
201	1.43548924
202	1.43247165
203	1.430817711
204	1.429822185
205	1.428818457
206	1.427129733
207	1.426678975
208	1.423906431
209	1.422021777
210	1.420242928
211	1.418576786
212	1.417690736
213	1.41527645
214	1.412610785
215	1.412556676
216	1.412265192
217	1.410066282
218	1.409789441
219	1.407930807
220	1.407386149
221	1.404726951
222	1.403271844
223	1.401585821
224	1.400711568
225	1.400181659
226	1.396428498
227	1.393778619
228	1.393553827
229	1.39174076
230	1.389950362
231	1.388101642
232	1.385110979
233	1.384404227
234	1.382229323
235	1.382175903
236	1.381749703
237	1.381209176
238	1.378454215
239	1.37593999
240	1.374719386
241	1.37358435
242	1.372077413
243	1.370874154
244	1.367932989
245	1.366202125
246	1.365830273
247	1.36274609
248	1.360017066
249	1.358201257
250	1.355657643
251	1.35527283
252	1.353877243
253	1.353440135
254	1.353024271
255	1.349909127
256	1.347580712
257	1.34663104
258	1.344317987
259	1.344033876
260	1.341125725
261	1.338731135
262	1.338720275
263	1.335535833
264	1.335007588
265	1.332494226
266	1.330300817
267	1.326583037
268	1.326477626
269	1.324772563
270	1.322395909
271	1.321830285
272	1.321761437
273	1.320880947
274	1.318112781
275	1.315900322
276	1.312857848
277	1.312588585
278	1.311634868
279	1.311497138
280	1.308828512
281	1.307712786
282	1.305648151
283	1.305516412
284	1.304786489
285	1.304502725
286	1.30436429
287	1.303880659
288	1.303517955
289	1.303109231
290	1.299667997
291	1.29662638
292	1.295375721
293	1.292164572
294	1.290222471
295	1.288538073
296	1.286843155
297	1.285398016
298	1.283073758
299	1.282558584
300	1.281809639
301	1.28024596
302	1.279808228
303	1.279677844
304	1.278203309
305	1.275835977
306	1.274208412
307	1.273001779
308	1.271472531
309	1.270046018
310	1.26668886
311	1.265696571
312	1.265474307
313	1.264782453
314	1.262340346
315	1.261514813
316	1.260905475
317	1.257818197
318	1.255481626
319	1.252356974
320	1.249853178
321	1.24711043
322	1.246632935
323	1.245722306
324	1.243004758
325	1.242329093
326	1.241625225
327	1.238715698
328	1.236348665
329	1.235647556
330	1.233192011
331	1.232645123
332	1.231988869
333	1.230559354
334	1.229980513
335	1.227933034
336	1.227527978
337	1.226887784
338	1.224342669
339	1.223851366
340	1.223598853
341	1.222634279
342	1.221568645
343	1.221176094
344	1.219022484
345	1.218383906
346	1.216109486
347	1.215567577
348	1.214959306
349	1.214702797
350	1.214255186
351	1.212151334
352	1.211416413
353	1.211004931
354	1.210433784
355	1.209635595
356	1.208957442
357	1.20640973
358	1.203520947
359	1.201217929
360	1.200805642
361	1.198975967
362	1.197267686
363	1.195726363
364	1.193875452
365	1.192875062
366	1.191999595
367	1.18918732
368	1.188806778
369	1.186664889
370	1.18611199
371	1.185747122
372	1.185047634
373	1.184436765
374	1.184105562
375	1.18350161
376	1.182813581
377	1.180428706
378	1.178116679
379	1.177440068
380	1.176788932
381	1.176439063
382	1.176024219
383	1.175473865
384	1.17503109
385	1.174716074
386	1.174308351
387	1.171274986
388	1.170640842
389	1.16966522
390	1.16915405
391	1.165934276
392	1.163967857
393	1.161817184
394	1.161391954
395	1.159001606
396	1.158630672
397	1.158116963
398	1.155354668
399	1.152403951
400	1.151965505
401	1.151307681
402	1.14850973
403	1.148167042
404	1.147809668
405	1.147243929
406	1.146714363
407	1.146295522
408	1.143574196
409	1.141069903
410	1.140540429
411	1.13820262
412	1.137604492
413	1.134646742
414	1.134154455
415	1.131393746
416	1.130921665
417	1.130163699
418	1.129417825
419	1.127526126
420	1.124576157
421	1.122573545
422	1.121777176
423	1.121279293
424	1.118575618
425	1.116092535
426	1.115455604
427	1.114761098
428	1.114333944
429	1.114013612
430	1.113418425
431	1.110861391
432	1.108754643
433	1.106128343
434	1.104282952
435	1.103988144
436	1.10323253
437	1.102892422
438	1.100240734
439	1.098404459
440	1.097988922
441	1.097338397
442	1.096998069
443	1.096441139
444	1.095912516
445	1.09399758
446	1.091672409
447	1.089244519
448	1.088534898
449	1.088035551
450	1.086348012
451	1.085884229
452	1.085275045
453	1.084792726
454	1.084063135
455	1.083809577
456	1.081383112
457	1.079107995
458	1.078528199
459	1.077950764
460	1.07765015
461	1.077396557
462	1.076074445
463	1.075775139
464	1.075296688
465	1.072580964
466	1.072204754
467	1.070715368
468	1.068046636
469	1.065898947
470	1.063263155
471	1.063025562
472	1.062616583
473	1.062133688
474	1.061818176
475	1.05942388
476	1.056868668
477	1.056602554
478	1.056322298
479	1.054358166
480	1.052486177
481	1.051702495
482	1.051402388
483	1.048749795
484	1.048402378
485	1.047653763
486	1.045783384
487	1.043432567
488	1.04307997
489	1.042729719
490	1.042327328
491	1.039616453
492	1.039423852
493	1.036917811
494	1.034541063
495	1.034347577
496	1.032594404
497	1.031409563
498	1.029339327
499	1.027338646
500	1.025343377
501	1.025158086
502	1.024907518
503	1.02411821
504	1.022049792
505	1.021772031
506	1.021325965
507	1.019256794
508	1.019013561
509	1.016481837
510	1.014636902
511	1.01275379
512	1.010118331
513	1.008679523
514	1.006719157
515	1.006276968
516	1.004502978
517	1.002664104
518	1.001958778
519	1.000134788
520	0.9987508923
521	0.9980848353
522	0.9957887776
523	0.9940225462
524	0.9918689398
525	0.9899810865
526	0.989332791
527	0.9873002755
528	0.9851808816
529	0.9832065877
530	0.9817616761
531	0.9799613178
532	0.9780210523
533	0.9760241788
534	0.9742959723
535	0.9735569396
536	0.9721110186
537	0.9705059263
538	0.9688316977
539	0.9683377371
540	0.9672481549
541	0.9660554742
542	0.9656914065
543	0.9637001992
544	0.9620422359
545	0.9615966657
546	0.959423486
547	0.9591372005
548	0.9589432902
549	0.9570693856
550	0.9555321242
551	0.9538019239
552	0.9513726363
553	0.9494105731
554	0.9484334583
555	0.9480509014
556	0.9475826062
557	0.9471072848
558	0.9451423389
559	0.9433560345
560	0.942062898
561	0.940127434
562	0.9386036803
563	0.9383286201
564	0.9368982306
565	0.9348356849
566	0.9333013968
567	0.9316705263
568	0.9298382534
569	0.9282467018
570	0.9268562815
571	0.9253637249
572	0.9233755088
573	0.9219925673
574	0.9210074409
575	0.9206616087
576	0.920109581
577	0.9183425242
578	0.916502401
579	0.9149742184
580	0.9133595806
581	0.9117110716
582	0.9099551763
583	0.9090683637
584	0.9069991997
585	0.9062032241
586	0.9055944096
587	0.9054068053
588	0.9035935908
589	0.9034493105
590	0.9012863077
591	0.9008758856
592	0.8995383086
593	0.8983152666
594	0.8977857358
595	0.8959636641
596	0.8951128278
597	0.893619264
598	0.8934140115
599	0.8922281284
600	0.8905668538
601	0.8899444419
602	0.889565697
603	0.8880489248
604	0.8878612053
605	0.8874170983
606	0.886252036
607	0.8848349011
608	0.8830822714
609	0.8819250336
610	0.8804052975
611	0.8789722051
612	0.8771666141
613	0.8769110896
614	0.8765124585
615	0.8752009195
616	0.874449533
617	0.8732847566
618	0.8727869656
619	0.8712420171
620	0.8699696079
621	0.8683737098
622	0.8678478773
623	0.8669953468
624	0.8664652396
625	0.8661428821
626	0.864777993
627	0.8632704968
628	0.8621663943
629	0.8619794256
630	0.8617986909
631	0.861366469
632	0.8602763599
633	0.8588924049
634	0.8585801028
635	0.8584318342
636	0.8568650695
637	0.8554530328
638	0.8551969641
639	0.8537492907
640	0.8521070616
641	0.8518641007
642	0.8517061054
643	0.8515604051
644	0.8502757407
645	0.848610017
646	0.8483540062
647	0.8467018301
648	0.8458115243
649	0.8456396461
650	0.8453567584
651	0.8447696448
652	0.8435543811
653	0.843293483
654	0.8429223897
655	0.8425845059
656	0.842173439
657	0.8407958594
658	0.8391059622
659	0.8381103179
660	0.8372228335
661	0.8359745564
662	0.8358151283
663	0.8356800959
664	0.8344185385
665	0.8328143876
666	0.8325714392
667	0.8312709725
668	0.8307340301
669	0.8293998458
670	0.8277303936
671	0.8269391038
672	0.825743727
673	0.8247608352
674	0.8244732894
675	0.8231191851
676	0.8228650394
677	0.8216088751
678	0.8205028314
679	0.8203003417
680	0.8192137337
681	0.8188762348
682	0.817628904
683	0.8173427522
684	0.8168135561
685	0.8154182875
686	0.8142176077
687	0.812890303
688	0.8122253085
689	0.8111382008
690	0.8108576427
691	0.8101102668
692	0.8099702821
693	0.808286017
694	0.8081033107
695	0.8078941915
696	0.8076856698
697	0.8070954179
698	0.8068466
699	0.8063843569
700	0.8054054017
701	0.805045122
702	0.8048260294
703	0.8046930222
704	0.8032392641
705	0.8029889071
706	0.8026776397
707	0.8025568163
708	0.8017328658
709	0.8007916646
710	0.8003263382
711	0.7991382677
712	0.7976117854
713	0.7973562027
714	0.7972167266
715	0.7958150899
716	0.7954474335
717	0.7950557916
718	0.794894716
719	0.7932350985
720	0.7922903408
721	0.7919228836
722	0.7916818865
723	0.7904334638
724	0.789183857
725	0.7888147489
726	0.7886821951
727	0.7878306347
728	0.7864842807
729	0.7862285268
730	0.7848194058
731	0.783355096
732	0.78317906
733	0.7820650566
734	0.7818522082
735	0.7813467882
736	0.7811003314
737	0.7800329209
738	0.7798083157
739	0.7794830037
740	0.7788790276
741	0.7773704085
742	0.776505376
743	0.7761902486
744	0.7752747183
745	0.7749055259
746	0.7739042492
747	0.7735151354
748	0.7731690688
749	0.7729121562
750	0.772610689
751	0.7723676315
752	0.7710486147
753	0.7699722592
754	0.7695794135
755	0.7683099744
756	0.7673048235
757	0.7665325999
758	0.7663706095
759	0.7653817764
760	0.7642946929
761	0.7632317917
762	0.7630372112
763	0.762767036
764	0.7625708474
765	0.7623720373
766	0.761350296
767	0.7599781016
768	0.7597836037
769	0.7595391896
770	0.7592286902
771	0.7579174231
772	0.7563628735
773	0.7561671911
774	0.7559488305
775	0.7554500306
776	0.7549849523
777	0.7545180378
778	0.7537039179
779	0.7523154415
780	0.7519252942
781	0.7509782099
782	0.750795558
783	0.7501750818
784	0.7498099388
785	0.7495673405
786	0.7493990225
787	0.7482802851
788	0.7481129389
789	0.7475431004
790	0.7468779459
791	0.7460718592
792	0.745878511
793	0.7453068763
794	0.7447593821
795	0.7445760633
796	0.7442851846
797	0.7441086664
798	0.7439226738
799	0.7434753321
800	0.7431813187
801	0.7429763887
802	0.7419178698
803	0.7412065979
804	0.740355692
805	0.7393170854
806	0.7383029438
807	0.7382743562
808	0.7382094949
809	0.7379435212
810	0.737879091
811	0.737129586
812	0.7363921594
813	0.7362365417
814	0.735865319
815	0.7351142299
816	0.7347435413
817	0.7336081501
818	0.7327370883
819	0.732052984
820	0.7318559604
821	0.730674941
822	0.7296893102
823	0.728310654
824	0.7274719129
825	0.7269230959
826	0.7259626469
827	0.7244659225
828	0.7243431771
829	0.7235983081
830	0.7228435972
831	0.7224696494
832	0.7212085939
833	0.7201967289
834	0.7198664934
835	0.7197726215
836	0.7187281677
837	0.7186338321
838	0.7185416729
839	0.7182751452
840	0.7180996759
841	0.7180098696
842	0.7170627324
843	0.7168529442
844	0.7164434658
845	0.7155048964
846	0.7154218532
847	0.7153967169
848	0.7152211293
849	0.7151328833
850	0.714974236
851	0.7144806982
852	0.7142284429
853	0.7140862385
854	0.7139493891
855	0.7137653386
856	0.7131687039
857	0.7125926033
858	0.7124048418
859	0.7122052823
860	0.711505994
861	0.7107406198
862	0.7099485611
863	0.7088768542
864	0.7083306326
865	0.7075587898
866	0.7072311181
867	0.7070796224
868	0.7067012737
869	0.706495576
870	0.7063922484
871	0.7061408461
872	0.705617546
873	0.7055282373
874	0.7046978695
875	0.7039616905
876	0.7028544872
877	0.7020218087
878	0.7018399943
879	0.7017326198
880	0.701662592
881	0.7007178808
882	0.7005672919
883	0.7000426567
884	0.6991279329
885	0.6989711982
886	0.6983535392
887	0.6970704455
888	0.6962015297
889	0.696037594
890	0.6952174031
891	0.6946694768
892	0.6944876117
893	0.6942479344
894	0.6939549171
895	0.6937844643
896	0.6936012919
897	0.6928279915
898	0.6917070747
899	0.691490115
900	0.6913176046
901	0.6911236568
902	0.689986654
903	0.6891001554
904	0.6888381874
905	0.6886046138
906	0.6883433454
907	0.688047905
908	0.6878687361
909	0.6877851455
910	0.6873339032
911	0.6868130708
912	0.6864578354
913	0.6859337436
914	0.6858511382
915	0.685658301
916	0.6855723187
917	0.6854563401
918	0.6851317116
919	0.6850479533
920	0.6849030144
921	0.6847006826
922	0.6837931251
923	0.6828818802
924	0.6819636051
925	0.6816779121
926	0.6809591249
927	0.6807758435
